  Iteration Nmol    Time(fs)  Epot(kcal)    Vol(A^3)     T(K)       Pres(MPa)    Dens(kg/dm3)
      250    23       62.50    -6629.66     1000.00      240.66        0.00        0.87
      500    23      125.00    -6635.39     1000.00      288.21        0.00        0.87
      750    23      187.50    -6640.95     1000.00      311.26        0.00        0.87
     1000    23      250.00    -6646.65     1000.00      339.02        0.00        0.87
     1250    23      312.50    -6639.62     1000.00      297.54        0.00        0.87
     1500    23      375.00    -6628.68     1000.00      254.79        0.00        0.87
     1750    23      437.50    -6635.25     1000.00      300.40        0.00        0.87
     2000    23      500.00    -6652.39     1000.00      367.81        0.00        0.87
     2250    23      562.50    -6653.51     1000.00      347.31        0.00        0.87
     2500    23      625.00    -6647.34     1000.00      300.78        0.00        0.87
     2750    23      687.50    -6668.73     1000.00      368.02        0.00        0.87
     3000    23      750.00    -6665.61     1000.00      330.33        0.00        0.87
     3250    23      812.50    -6655.76     1000.00      281.12        0.00        0.87
     3500    23      875.00    -6659.50     1000.00      296.08        0.00        0.87
     3750    22      937.50    -6655.22     1000.00      280.17        0.00        0.87
     4000    22     1000.00    -6662.79     1000.00      315.27        0.00        0.87
     4250    23     1062.50    -6667.41     1000.00      326.82        0.00        0.87
     4500    23     1125.00    -6659.19     1000.00      282.59        0.00        0.87
     4750    23     1187.50    -6655.23     1000.00      274.33        0.00        0.87
     5000    23     1250.00    -6663.99     1000.00      304.99        0.00        0.87
     5250    23     1312.50    -6675.70     1000.00      340.01        0.00        0.87
     5500    22     1375.00    -6679.37     1000.00      342.32        0.00        0.87
     5750    23     1437.50    -6670.55     1000.00      304.76        0.00        0.87
     6000    23     1500.00    -6675.35     1000.00      313.13        0.00        0.87
     6250    22     1562.50    -6677.10     1000.00      303.97        0.00        0.87
     6500    23     1625.00    -6684.96     1000.00      330.07        0.00        0.87
     6750    23     1687.50    -6677.89     1000.00      294.88        0.00        0.87
     7000    23     1750.00    -6677.70     1000.00      291.00        0.00        0.87
     7250    23     1812.50    -6683.94     1000.00      304.13        0.00        0.87
     7500    23     1875.00    -6688.87     1000.00      317.01        0.00        0.87
     7750    23     1937.50    -6695.21     1000.00      333.44        0.00        0.87
     8000    21     2000.00    -6685.89     1000.00      276.94        0.00        0.87
     8250    21     2062.50    -6692.50     1000.00      320.42        0.00        0.87
     8500    23     2125.00    -6685.45     1000.00      292.53        0.00        0.87
     8750    22     2187.50    -6684.73     1000.00      282.91        0.00        0.87
     9000    21     2250.00    -6693.58     1000.00      323.76        0.00        0.87
     9250    22     2312.50    -6684.22     1000.00      285.95        0.00        0.87
     9500    22     2375.00    -6688.07     1000.00      302.70        0.00        0.87
     9750    21     2437.50    -6682.01     1000.00      274.45        0.00        0.87
    10000    21     2500.00    -6685.30     1000.00      294.30        0.00        0.87
    10000    21     2500.00    -6685.30     1000.00      294.30        0.00        0.87
