atom    mass   rad   ang     r(vd) E(vd)  S(vd)  Z*    T_3   DE   Hatom Mb Hy
H_      1.0080 0.354 180.000 2.886 0.044 12.000 0.733 0.000 100.0 100.0  1  0  8
H___b   1.0080 0.460  83.500 2.886 0.044 12.000 0.733 0.000 100.0 100.0  1  0 
He4+4   4.0026 0.849  90.000 2.362 0.056 15.240 0.100 0.000 100.0 100.0  2  0 6
Li      6.9410 1.336 180.000 2.451 0.025 12.000 1.055 0.000 100.0 100.0  6  0 
Be3+2   9.0120 1.074 109.471 2.745 0.085 12.000 1.610 0.000 100.0 100.0  6  3 1
B_3    10.8100 0.840 109.471 4.083 0.180 12.052 1.806 0.000 100.0 100.0  4  3 
B_2    10.8100 0.828 120.000 4.083 0.180 12.052 1.806 0.000 100.0 100.0  4  2 1
C_3    12.0110 0.757 109.471 3.851 0.105 12.730 1.967 2.119 100.0 100.0  4  3 
C_R    12.0110 0.729 120.000 3.851 0.105 12.730 1.967 0.000 100.0 100.0  4  2 5
C_2    12.0110 0.732 120.000 3.851 0.105 12.730 1.967 0.000 100.0 100.0  4  2 
C_1    12.0110 0.711 180.000 3.851 0.105 12.730 1.967 0.000 100.0 100.0  4  1 5
N_3    14.0067 0.697 106.700 3.660 0.069 13.407 2.617 0.395 100.0 100.0  4  3 
N_R    14.0067 0.699 120.000 3.660 0.069 13.407 2.617 0.000 100.0 100.0  4  2 7
N_2    14.0067 0.689 111.200 3.660 0.069 13.407 2.617 0.000 100.0 100.0  4  2 
N_1    14.0067 0.666 180.000 3.660 0.069 13.407 2.617 0.000 100.0 100.0  4  1 7
O_3    15.9994 0.657 104.510 3.500 0.060 14.085 2.366 0.018 100.0 100.0  4  3 
O_3_z  15.9994 0.678 146.000 3.500 0.060 14.085 2.366 0.018 100.0 100.0  4  3 2
O_R    15.9994 0.685 115.500 3.500 0.060 14.085 2.366 0.000 100.0 100.0  4  2 
O_2    15.9994 0.643 120.000 3.500 0.060 14.085 2.366 0.000 100.0 100.0  4  2 2
O_1    15.9994 0.680 180.000 3.500 0.060 14.085 2.366 0.000 100.0 100.0  4  1 
F_     18.9984 0.668 180.000 3.364 0.050 14.762 1.785 0.000 100.0 100.0  4  0 4
Ne4+4  20.1790 0.920  90.000 3.243 0.042 15.440 0.200 0.000 100.0 100.0  6  0 
Na     22.9900 1.539 180.000 2.983 0.030 12.000 1.112 0.000 100.0 100.0  6  0 1
Mg3+2  24.3100 1.421 109.471 3.021 0.111 12.000 1.838 0.000 100.0 100.0  6  3 
Al3    26.9815 1.244 109.471 4.499 0.505 11.278 1.844 0.000 100.0 100.0  4  3 1
Si3    28.0860 1.117 109.471 4.295 0.402 12.175 2.390 1.225 100.0 100.0  4  3 
P_3+3  30.9738 1.101  93.800 4.147 0.305 13.072 2.945 3.300 100.0 100.0  4  3 3
P_3+5  30.9738 1.056 109.471 4.147 0.305 13.072 2.945 3.300 100.0 100.0  4  3 
P_3+q  30.9738 1.056 109.471 4.147 0.305 13.072 2.945 3.300 100.0 100.0  4  3 3
P_R    30.9738 1.089 101.100 4.147 0.305 13.072 2.945 0.000 100.0 100.0  4  2 
S_3+2  32.0600 1.064  92.100 4.035 0.274 13.969 2.781 0.434 100.0 100.0  4  3 3
S_3+4  32.0600 1.049 103.200 4.035 0.274 13.969 2.781 0.434 100.0 100.0  4  3 
S_3+6  32.0600 1.027 109.471 4.035 0.274 13.969 2.781 0.434 100.0 100.0  4  3 3
S_R    32.0600 1.077  92.200 4.035 0.274 13.969 2.781 0.000 100.0 100.0  4  2 
S_2    32.0600 0.830 120.000 4.035 0.274 13.969 2.781 0.000 100.0 100.0  4  2 3
Cl     35.4530 1.044 180.000 3.947 0.227 14.866 2.416 0.000 100.0 100.0  4  0 
Ar4+4  39.9480 1.032  90.000 3.868 0.185 15.763 0.308 0.000 100.0 100.0  6  0 6
K_     39.9480 1.953 180.000 3.812 0.035 12.000 1.198 0.000 100.0 100.0  6  0 
Ca6+2  40.0800 1.761  90.000 3.399 0.238 12.000 2.203 0.000 100.0 100.0  6  3 1
Sc3+3  44.9600 1.513 109.471 3.295 0.019 12.000 2.667 0.000 100.0 100.0  6  3 
Ti3+4  47.9600 1.412 109.471 3.175 0.017 12.000 2.736 0.000 100.0 100.0  6  3 6
Ti6+4  47.9600 1.412  90.000 3.175 0.017 12.000 2.736 0.000 100.0 100.0  6  3 
V_3+5  50.9400 1.402 109.471 3.144 0.016 12.000 2.756 0.000 100.0 100.0  6  3 6
Cr6+3  52.0000 1.345  90.000 3.023 0.015 12.000 2.534 0.000 100.0 100.0  6  6 
Mn6+2  54.9470 1.382  90.000 2.961 0.013 12.000 2.500 0.000 100.0 100.0  6  6 6
Fe6+2  55.8470 1.335  90.000 2.912 0.013 12.000 2.500 0.000 100.0 100.0  6  6 
Co6+3  58.9300 1.241  90.000 2.872 0.014 12.000 2.500 0.000 100.0 100.0  6  6 6
Ni4+2  58.7100 1.164  90.000 2.834 0.015 12.000 2.500 0.000 100.0 100.0  6  0 
Cu3+1  63.5500 1.302 109.471 3.495 0.005 12.000 1.807 0.000 100.0 100.0  6  3 6
Zn3+2  65.3770 1.193 109.471 2.763 0.124 12.000 1.346 0.000 100.0 100.0  6  3 
Ga3+3  69.7200 1.260 109.471 4.383 0.415 11.000 1.873 0.000 100.0 100.0  4  3 1
Ge3    72.5900 1.197 109.471 4.280 0.379 12.000 2.869 0.701 100.0 100.0  4  3 
As3+3  74.9216 1.211  92.100 4.230 0.309 13.000 2.946 3.000 100.0 100.0  4  3 3
Se3+2  78.9600 1.190  90.600 4.205 0.291 14.000 2.844 0.335 100.0 100.0  4  3 
Br     79.9040 1.192 180.000 4.189 0.251 15.000 2.591 0.000 100.0 100.0  4  0 4
Kr4+4  83.8000 1.147  90.000 4.141 0.220 16.000 0.465 0.000 100.0 100.0  6  0 
Rb     85.4700 2.260 180.000 4.114 0.040 12.000 1.638 0.000 100.0 100.0  6  0 1
Sr6+2  87.6200 2.052  90.000 3.641 0.235 12.000 2.519 0.000 100.0 100.0  6  3 
Y_3+3  88.9100 1.698 109.471 3.345 0.072 12.000 3.351 0.000 100.0 100.0  6  3 6
Zr3+4  91.2200 1.564 109.471 3.124 0.069 12.000 3.773 0.000 100.0 100.0  6  3 
Nb3+5  92.9100 1.473 109.471 3.165 0.059 12.000 3.722 0.000 100.0 100.0  6  3 6
Mo6+6  95.9400 1.467  90.000 3.052 0.056 12.000 3.500 0.000 100.0 100.0  6  6 
Mo3+6  95.9400 1.484 109.471 3.052 0.056 12.000 3.500 0.000 100.0 100.0  6  3 6
Tc6+5  99.0000 1.322  90.000 2.998 0.048 12.000 3.500 0.000 100.0 100.0  6  6 
Ru6+2 101.0700 1.478  90.000 2.963 0.056 12.000 3.500 0.000 100.0 100.0  6  6 6
Rh6+3 102.9100 1.332  90.000 2.929 0.053 12.000 3.609 0.000 100.0 100.0  6  6 
Pd4+2 106.4000 1.338  90.000 2.899 0.048 12.000 3.300 0.000 100.0 100.0  6  0 6
Ag1+1 107.8700 1.386 180.000 3.148 0.036 12.000 2.012 0.000 100.0 100.0  6  2 
Cd3+2 112.4000 1.403 109.471 2.848 0.228 12.000 1.700 0.000 100.0 100.0  6  3 6
In3+3 114.8200 1.459 109.471 4.463 0.599 11.000 2.130 0.000 100.0 100.0  4  3 
Sn3   118.6900 1.398 109.471 4.392 0.567 12.000 3.046 0.199 100.0 100.0  4  3 5
