#type      m_D/u       q_D/e k_Da/(j/A)   alpha/A3      thole
Li+          0.4     -0.3104     4184.0    0.03200
Na+          0.4     -0.6876     4184.0    0.15700
K+           0.4     -1.5810     4184.0    0.83000
Rb+          0.4     -2.0312     4184.0    1.37000
Cs+          0.4     -2.6659     4184.0    2.36000
F-           0.4     -2.3192     4184.0    1.78600
Cl-          0.4     -3.4572     4184.0    3.96900
Br-          0.4     -3.9807     4184.0    5.26200
I-           0.4     -4.7331     4184.0    7.43900
Zn2+         0.4     -1.1246     4184.0    0.42000       2.15
Mg2+         0.4     -0.4752     4184.0    0.07500       1.52
Ca2+         0.4     -1.2147     4184.0    0.49000       1.51
Sr2+         0.4     -1.6186     4184.0    0.87000       1.24
Ba2+         0.4     -2.1675     4184.0    1.56000       1.46
