 HT       OT       HT        THETA_HARM     110.0000  104.5200
 H140     C135     H140      THETA_HARM      66.0000  107.8000
 H140     C136     H140      THETA_HARM      66.0000  107.8000
 H140     C149     H140      THETA_HARM      66.0000  107.8000
 H140     C157     H140      THETA_HARM      66.0000  107.8000
 H140     C206     H140      THETA_HARM      66.0000  107.8000
 H140     C209     H140      THETA_HARM      66.0000  107.8000
 H140     C210     H140      THETA_HARM      66.0000  107.8000
 H140     C214     H140      THETA_HARM      66.0000  107.8000
 H140     C223     H140      THETA_HARM      66.0000  107.8000
 H140     C242     H140      THETA_HARM      66.0000  107.8000
 H140     C245     H140      THETA_HARM      66.0000  107.8000
 H140     C274     H140      THETA_HARM      66.0000  107.8000
 H140     C284     H140      THETA_HARM      66.0000  107.8000
 H140     C292     H140      THETA_HARM      66.0000  107.8000
 H140     C296     H140      THETA_HARM      66.0000  107.8000
 H140     C307     H140      THETA_HARM      66.0000  107.8000
 H140     C308     H140      THETA_HARM      66.0000  107.8000
 H140     C505     H140      THETA_HARM      66.0000  107.8000
 H290     N287     H290      THETA_HARM      70.0000  109.5000
 H310     N309     H310      THETA_HARM      70.0000  109.5000
 C135     C136     C137      THETA_HARM     116.7000  112.7000
 C135     C136     H140      THETA_HARM      75.0000  110.7000
 C135     C137     C135      THETA_HARM     116.7000  112.7000
 C135     C137     C136      THETA_HARM     116.7000  112.7000
 C135     C137     C224      THETA_HARM     116.7000  112.7000
 C135     C137     C283      THETA_HARM     116.7000  112.7000
 C135     C137     C293      THETA_HARM     116.7000  112.7000
 C135     C137     H140      THETA_HARM      75.0000  110.7000
 C135     C158     C224      THETA_HARM     116.7000  112.7000
 C135     C158     C283      THETA_HARM     116.7000  112.7000
 C135     C158     C293      THETA_HARM     116.7000  112.7000
 C135     C158     H140      THETA_HARM      75.0000  110.7000
 C135     C158     O154      THETA_HARM     100.0000  109.5000
 C135     C224     C235      THETA_HARM     126.0000  111.1000
 C135     C224     H140      THETA_HARM      75.0000  110.7000
 C135     C224     N238      THETA_HARM     160.0000  109.7000
 C135     C235     N238      THETA_HARM     140.0000  116.6000
 C135     C235     N239      THETA_HARM     140.0000  116.6000
 C135     C235     O236      THETA_HARM     160.0000  120.4000
 C135     C283     C271      THETA_HARM     126.0000  111.1000
 C135     C283     H140      THETA_HARM      75.0000  110.7000
 C135     C283     N238      THETA_HARM     160.0000  109.7000
 C135     C293     C235      THETA_HARM     126.0000  111.1000
 C135     C293     H140      THETA_HARM      75.0000  110.7000
 C135     C293     N287      THETA_HARM     160.0000  111.2000
 C136     C135     H140      THETA_HARM      75.0000  110.7000
 C136     C136     C136      THETA_HARM     116.7000  112.7000
 C136     C136     C224      THETA_HARM     116.7000  112.7000
 C136     C136     C235      THETA_HARM     126.0000  111.1000
 C136     C136     C245      THETA_HARM     116.7000  112.7000
 C136     C136     C246      THETA_HARM     116.7000  112.7000
 C136     C136     C267      THETA_HARM     126.0000  111.1000
 C136     C136     C283      THETA_HARM     116.7000  112.7000
 C136     C136     C285      THETA_HARM     116.7000  112.7000
 C136     C136     C292      THETA_HARM     116.7000  112.7000
 C136     C136     C293      THETA_HARM     116.7000  112.7000
 C136     C136     C295      THETA_HARM     116.7000  112.7000
 C136     C136     C296      THETA_HARM     116.7000  112.7000
 C136     C136     H140      THETA_HARM      75.0000  110.7000
 C136     C137     C224      THETA_HARM     116.7000  112.7000
 C136     C137     C283      THETA_HARM     116.7000  112.7000
 C136     C137     C293      THETA_HARM     116.7000  112.7000
 C136     C137     H140      THETA_HARM      75.0000  110.7000
 C136     C210     H140      THETA_HARM      75.0000  110.7000
 C136     C210     S202      THETA_HARM     100.0000  114.7000
 C136     C224     C235      THETA_HARM     126.0000  111.1000
