H     4.528   6.945   0.196
He    9.660  14.920   0.688
Li    3.006   2.386   0.824
Be    4.877   4.443   0.656
B     5.110   4.750   0.435
C     5.343   5.063   0.402
N     6.899   5.880   0.378
O     8.741   6.682   0.354
F    10.874   7.474   0.374
Ne   11.040  10.550   0.935
Na    2.843   2.296   1.103
Mg    3.951   3.693   0.794
Al    4.060   3.590   0.635
Si    4.168   3.487   0.622
P     5.463   4.000   0.583
S     6.928   4.486   0.554
Cl    8.564   4.946   0.526
Ar    9.465   6.355   1.115
K     2.421   1.920   1.368
Ca    3.231   2.880   1.058
Sc    3.395   3.080   0.926
Ti    3.470   3.380   0.850
V     3.650   3.410   0.778
Cr    3.415   3.865   0.742
Mn    3.325   4.105   0.811
Fe    3.760   4.140   0.737
Co    4.105   4.175   0.744
Ni    4.465   4.205   0.740
Cu    3.729   2.501   0.759
Zn    5.106   4.285   0.741
Ga    3.641   3.160   0.641
Ge    4.051   3.438   0.629
As    5.188   3.809   0.637
Se    6.428   4.131   0.648
Br    7.790   4.425   0.604
Kr    8.505   5.715   1.201
Rb    2.331   1.846   1.466
Sr    3.024   2.440   1.278
Y     3.830   2.810   1.057
Zr    3.400   3.550   0.930
Nb    3.550   3.380   0.848
Mo    3.465   3.755   0.810
Tc    3.290   3.990   0.794
Ru    3.575   4.015   0.794
Rh    3.975   4.005   0.798
Pd    4.320   4.000   0.817
Ag    4.436   3.134   0.858
Cd    5.034   3.957   0.847
In    3.506   2.896   0.743
Sn    3.987   3.124   0.716
Sb    4.899   3.342   0.743
Te    5.816   3.526   0.730
I     6.822   3.762   0.705
Xe    7.595   4.975   1.301
Cs    2.183   1.711   1.579
Ba    2.814   2.396   1.292
La    2.836   2.741   1.096
Ce    2.744   2.692   1.019
Pr    2.858   2.564   1.062
Nd    2.869   2.620   1.062
Pm    2.881   2.673   1.058
Sm    2.912   2.720   1.047
Eu    2.878   2.788   1.178
Gd    3.167   2.974   1.041
Tb    3.018   2.834   1.034
Dy    3.055   2.872   1.023
Ho    3.127   2.891   1.019
Er    3.187   2.914   1.013
Tm    3.251   2.933   1.058
Yb    3.289   2.965   1.142
Lu    2.963   2.463   1.003
Hf    3.700   3.400   0.931
Ta    5.100   2.850   0.849
W     4.630   3.310   0.814
Re    3.960   3.920   0.847
Os    5.140   3.630   0.899
Ir    5.000   4.000   0.987
Pt    4.790   4.430   0.824
Au    4.894   2.586   0.856
Hg    6.270   4.160   0.847
Tl    3.200   2.900   0.810
Pb    3.900   3.530   0.764
Bi    4.690   3.740   0.801
Po    4.210   4.210   0.783
At    4.750   4.750   0.778
Rn    5.370   5.370   1.164
Fr    2.000   2.000   1.217
Ra    2.843   2.434   1.164
Ac    2.835   2.835   1.115
Th    3.175   2.905   1.068
Pa    2.985   2.905   0.952
U     3.341   2.853   0.906
Np    3.549   2.717   0.952
Pu    3.243   2.819   0.974
Am    2.990   3.003   1.028
Cm    2.832   3.189   1.005
Bk    3.193   3.035   1.005
Cf    3.197   3.101   1.005
Es    3.333   3.089   1.005
Fm    3.400   3.100   1.005
Md    3.470   3.110   1.005
No    3.475   3.175   1.005
Lr    3.500   3.200   1.005
