H   104.416 320.313   0.100   3.821   0.000
He  222.760 688.110   0.100   1.090   0.000
Li   69.318 110.042   0.100   1.517   0.000
Be  112.464 204.911   0.100   1.905   0.000
B   117.837 219.070   0.100   2.874   0.000
C   123.210 233.506   0.100   3.113   0.000
N   159.091 271.186   0.100   3.304   0.000
O   201.567 308.174   0.100   3.531   0.000
F   250.754 344.701   0.100   3.346   0.000
Ne  254.582 486.566   0.100   1.336   0.000
Na   65.560 105.892   0.100   1.586   0.000
Mg   91.110 170.321   0.100   2.205   0.000
Al   93.624 165.571   0.100   2.754   0.000
Si   96.114 160.820   0.100   2.812   0.000
P   125.977 184.480   0.100   3.001   0.000
S   159.760 206.894   0.100   3.159   0.000
Cl  197.486 228.110   0.100   3.327   0.000
Ar  218.263 293.093   0.100   1.569   0.000
K    55.828  88.550   0.100   1.644   0.000
Ca   74.507 132.826   0.100   2.126   0.000
Sc   78.289 142.050   0.100   2.430   0.000
Ti   80.018 155.886   0.100   2.646   0.000
V    84.169 157.269   0.100   2.893   0.000
Cr   78.750 178.254   0.100   3.033   0.000
Mn   76.674 189.323   0.100   2.774   0.000
Fe   86.706 190.937   0.100   3.053   0.000
Co   94.661 192.551   0.100   3.025   0.000
Ni  102.963 193.935   0.100   3.042   0.000
Cu   85.991 115.346   0.100   2.965   0.000
Zn  117.744 197.624   0.100   3.037   0.000
Ga   83.961 145.739   0.100   3.512   0.000
Ge   93.416 158.561   0.100   3.577   0.000
As  119.635 175.671   0.100   3.532   0.000
Se  148.230 190.522   0.100   3.474   0.000
Br  179.637 204.081   0.100   3.727   0.000
Kr  196.125 263.576   0.100   1.873   0.000
Rb   53.753  85.138   0.100   1.876   0.000
Sr   69.733 112.533   0.100   2.152   0.000
Y    88.320 129.597   0.100   2.601   0.000
Zr   78.404 163.726   0.100   2.956   0.000
Nb   81.863 155.886   0.100   3.242   0.000
Mo   79.903 173.181   0.100   3.397   0.000
Tc   75.867 184.019   0.100   3.465   0.000
Ru   82.439 185.172   0.100   3.465   0.000
Rh   91.663 184.711   0.100   3.444   0.000
Pd   99.619 184.480   0.100   3.366   0.000
Ag  102.294 144.540   0.100   3.204   0.000
Cd  116.084 182.497   0.100   3.248   0.000
In   80.848 133.564   0.100   3.702   0.000
Sn   91.940 144.079   0.100   3.839   0.000
Sb  112.971 154.133   0.100   3.702   0.000
Te  134.117 162.619   0.100   3.766   0.000
I   157.315 173.503   0.100   3.899   0.000
Xe  175.141 229.447   0.100   2.114   0.000
Cs   50.340  78.911   0.100   2.058   0.000
Ba   64.891 110.504   0.100   2.515   0.000
La   65.387 126.438   0.100   2.966   0.000
Ce   63.277 124.155   0.100   3.191   0.000
Pr   65.905 118.252   0.100   3.061   0.000
Nd   66.148 120.857   0.100   3.061   0.000
Pm   66.436 123.279   0.100   3.071   0.000
Sm   67.139 125.423   0.100   3.105   0.000
Eu   66.378 128.559   0.100   2.758   0.000
Gd   73.019 137.184   0.100   3.121   0.000
Tb   69.595 130.704   0.100   3.144   0.000
Dy   70.460 132.434   0.100   3.176   0.000
Ho   72.109 133.333   0.100   3.191   0.000
Er   73.481 134.417   0.100   3.208   0.000
Tm   74.977 135.265   0.100   3.071   0.000
Yb   75.842 136.746   0.100   2.846   0.000
Lu   68.324 113.589   0.100   3.240   0.000
Hf   85.322 156.808   0.100   3.492   0.000
Ta  117.606 131.442   0.100   3.827   0.000
W   106.768 152.657   0.100   3.994   0.000
Re   91.318 180.790   0.100   3.839   0.000
Os  118.528 167.416   0.100   3.613   0.000
Ir  115.300 184.480   0.100   3.292   0.000
Pt  110.457 204.312   0.100   3.945   0.000
Au  112.856 119.266   0.100   3.796   0.000
Hg  144.586 191.859   0.100   3.839   0.000
Tl   73.792 133.748   0.100   4.015   0.000
Pb   89.934 162.804   0.100   4.254   0.000
Bi  108.151 172.489   0.100   4.057   0.000
Po   97.083 194.165   0.100   4.150   0.000
At  109.535 219.070   0.100   4.179   0.000
Rn  123.832 247.664   0.100   2.792   0.000
Fr   46.120  92.240   0.100   3.082   0.000
Ra   65.560 112.256   0.100   3.222   0.000
Ac   65.375 130.750   0.100   3.362   0.000
Th   73.215 133.979   0.100   3.512   0.000
Pa   68.834 133.979   0.100   3.937   0.000
U    77.043 131.580   0.100   4.137   0.000
Np   81.840 125.308   0.100   3.937   0.000
Pu   74.784 130.012   0.100   3.852   0.000
Am   68.938 138.521   0.100   3.650   0.000
Cm   65.294 147.100   0.100   3.730   0.000
Bk   73.642 139.997   0.100   3.730   0.000
Cf   73.723 143.018   0.100   3.730   0.000
Es   76.859 142.465   0.100   3.730   0.000
Fm   78.404 142.972   0.100   3.730   0.000
Md   80.018 143.433   0.100   3.730   0.000
No   80.133 146.431   0.100   3.730   0.000
Lr   80.710 147.584   0.100   3.730   0.000
