
# Curve 0 of 1, 100 points
# Curve title: "buck(x,92.230599,0.623507,140.722986)"
# x y type
 3  0.557325  i
 3.07071  0.50206  i
 3.14141  0.45167  i
 3.21212  0.405855  i
 3.28283  0.364299  i
 3.35354  0.326684  i
 3.42424  0.292696  i
 3.49495  0.262032  i
 3.56566  0.234405  i
 3.63636  0.209544  i
 3.70707  0.187196  i
 3.77778  0.167125  i
 3.84848  0.149115  i
 3.91919  0.132967  i
 3.9899  0.118499  i
 4.06061  0.105545  i
 4.13131  0.0939529  i
 4.20202  0.083586  i
 4.27273  0.0743197  i
 4.34343  0.0660415  i
 4.41414  0.0586498  i
 4.48485  0.0520526  i
 4.55556  0.0461674  i
 4.62626  0.0409197  i
 4.69697  0.0362425  i
 4.76768  0.0320758  i
 4.83838  0.0283654  i
 4.90909  0.0250628  i
 4.9798  0.0221247  i
 5.05051  0.019512  i
 5.12121  0.0171897  i
 5.19192  0.0151266  i
 5.26263  0.0132947  i
 5.33333  0.011669  i
 5.40404  0.010227  i
 5.47475  0.00894882  i
 5.54545  0.00781642  i
 5.61616  0.00681388  i
 5.68687  0.00592691  i
 5.75758  0.00514277  i
 5.82828  0.00445007  i
 5.89899  0.00383867  i
 5.9697  0.00329951  i
 6.0404  0.00282452  i
 6.11111  0.0024065  i
 6.18182  0.00203905  i
 6.25253  0.00171644  i
 6.32323  0.00143359  i
 6.39394  0.00118597  i
 6.46465  0.000969539  i
 6.53535  0.000780719  i
 6.60606  0.000616317  i
 6.67677  0.000473495  i
 6.74747  0.00034973  i
 6.81818  0.000242783  i
 6.88889  0.000150663  i
 6.9596  7.16038e-05  i
 7.0303  4.03726e-06  i
 7.10101 -5.34271e-05  i
 7.17172 -0.000102022  i
 7.24242 -0.000142841  i
 7.31313 -0.000176851  i
 7.38384 -0.000204908  i
 7.45455 -0.000227771  i
 7.52525 -0.00024611  i
 7.59596 -0.000260516  i
 7.66667 -0.000271512  i
 7.73737 -0.000279558  i
 7.80808 -0.000285062  i
 7.87879 -0.000288381  i
 7.94949 -0.00028983  i
 8.0202 -0.000289684  i
 8.09091 -0.000288189  i
 8.16162 -0.000285555  i
 8.23232 -0.000281969  i
 8.30303 -0.000277594  i
 8.37374 -0.000272573  i
 8.44444 -0.000267029  i
 8.51515 -0.00026107  i
 8.58586 -0.000254788  i
 8.65657 -0.000248266  i
 8.72727 -0.000241571  i
 8.79798 -0.000234765  i
 8.86869 -0.000227898  i
 8.93939 -0.000221015  i
 9.0101 -0.000214151  i
 9.08081 -0.000207339  i
 9.15152 -0.000200605  i
 9.22222 -0.000193969  i
 9.29293 -0.000187452  i
 9.36364 -0.000181066  i
 9.43434 -0.000174823  i
 9.50505 -0.000168732  i
 9.57576 -0.000162801  i
 9.64646 -0.000157034  i
 9.71717 -0.000151435  i
 9.78788 -0.000146005  i
 9.85859 -0.000140745  i
 9.92929 -0.000135655  i
 10 -0.000130734  i

